 	Alpharetta, GA	Arlington Heights, IL	Baton Rouge, LA	Billings, MT	Bowling Green, KY	Buena Park, CA	Carson, CA	Charleston, SC	City of Sammamish, WA	Compton, CA	Cypress, CA	Delray Beach, FL	East Brunswick, NJ	Edmond, OK	Euless, TX	Florin, CA	Fresno, CA	Goodyear, AZ	Hamilton, OH	Highland, CA	Iowa City, IA	Joplin, MO	Kissimmee, FL	Lakewood, NJ	Lenexa, KS	Loveland, CO	Marietta, GA	Metairie Terrace, LA	Mission Viejo, CA	Nampa, ID	Noblesville, IN	Oak Lawn, IL	Ozone Park, NY	Paterson, NJ	Pittsburg, CA	Portland, ME	Redmond, WA	Rock Hill, SC	Saint George, UT	San Marcos, TX	Schaumburg, IL	South Gate, CA	Springfield, OR	Tacoma, WA	Tigard, OR	Tyler, TX	Waldorf, MD	West Coon Rapids, MN	Wheaton, MD
East Brunswick, NJ	898.13	939.2	1760.92	2226.51	903.3	3034.58	3057.84	748.94	3413.04	3050.84	3050.29	1196.38		1896.88	1621.46	3426.44	3273.32	2687.83	784.84	2987.05	1103.24	1353.22	1058.63	31.31	1392.59	1898.97	919.88	1833.41	3054.01	2953.17	842.09	897.23	86.04	64.11	3408.96	407.35	3420.58	675.54	3024.28	1826.64	935.65	3049.2	3469.61	3436.39	3369.46	1589.85	207.8	1393.0	188.12
Edmond, OK	1191.46	803.77	817.17	1266.46	1070.48	1606.25	1629.51	1455.69	2051.38	1622.51	1621.95	1634.42	1896.68		275.7	1998.11	1844.99	1259.49	1291.31	1558.71	632.82	211.46	1470.32	1905.27	322.01	764.78	1175.13	889.66	1625.67	1591.51	1272.03	783.68	1972.41	1931.31	1980.62	2293.61	2058.92	1403.22	1595.94	507.46	800.22	1620.87	2107.95	2074.73	2007.8	410.97	1704.61	801.65	1686.9
Euless, TX	915.81	999.82	541.52	1886.23	794.83	1413.78	1437.04	1180.04	2671.15	1430.04	1429.49	1358.77	1621.03	276.08		1805.65	1652.53	1067.03	1015.66	1366.25	987.77	403.59	1194.67	1629.62	534.38	1384.55	899.48	614.01	1433.21	2211.29	996.39	974.39	1696.76	1655.66	1788.16	2017.96	2678.7	1127.57	1403.48	238.99	996.27	1428.41	2727.72	2694.5	2627.58	142.5	1428.97	1346.44	1411.25
Florin, CA	2740.32	2824.32	2366.02	1179.33	2619.34	407.87	397.11	3004.54	781.39	396.19	409.86	3183.27	3445.54	1999.5	1805.17		162.35	739.98	2840.17	454.04	2317.32	2203.73	3019.18	3454.13	2321.69	1172.9	2723.98	2438.51	443.8	544.1	2820.89	2798.89	3521.26	3480.17	63.32	3842.47	778.91	2952.07	672.8	1765.86	2820.77	390.39	487.07	738.46	588.66	1929.79	3253.47	2008.27	3235.76
Fresno, CA	2586.74	2670.74	2212.44	1339.5	2465.76	254.29	243.53	2850.96	941.56	242.62	256.28	3029.69	3291.96	1845.92	1651.59	161.85		586.4	2686.59	300.46	2658.69	2050.15	2865.6	3300.55	2168.11	1223.98	2570.4	2284.93	290.22	704.27	2667.31	2645.32	3367.68	3326.59	159.41	3688.89	939.08	2798.49	525.39	1612.28	2667.19	236.81	647.24	898.64	748.84	1776.21	3099.89	2168.44	3082.18
Goodyear, AZ	2000.39	2084.4	1626.1	1309.81	1879.41	346.89	370.15	2264.62	1378.46	363.15	362.59	2443.35	2705.61	1259.58	1065.25	738.75	585.63		2100.25	299.35	2072.35	1463.81	2279.26	2714.2	1581.76	1121.32	1984.06	1698.59	366.31	918.59	2080.97	2058.97	2781.34	2740.24	721.26	3102.54	1386.0	2212.15	400.07	1025.94	2080.85	361.51	1217.29	1401.81	1334.88	1189.87	2513.55	2431.02	2495.83
Hamilton, OH	627.1	336.94	1151.81	1624.26	294.18	2425.47	2448.73	691.96	2810.79	2441.73	2441.17	1152.41	813.06	1287.77	1012.35	2817.33	2664.21	2078.72		2377.93	500.99	744.1	1080.5	845.89	657.06	2396.24	614.54	1224.3	2444.89	2350.92	127.35	294.98	846.96	808.99	2799.84	1143.21	2818.33	527.11	2415.17	1217.52	333.4	2440.09	2867.36	2834.14	2767.21	980.73	561.44	790.74	521.58
Highland, CA	2320.12	2404.13	1945.83	1288.84	2199.14	62.48	85.74	2584.35	1325.26	78.74	78.19	2763.08	3025.35	1579.31	1384.98	454.34	301.23	319.79	2419.98		2392.08	1783.54	2598.99	3033.93	1901.5	1045.46	2303.79	2018.32	81.91	865.39	2400.7	2378.7	3101.07	3059.98	436.86	3422.28	1332.8	2531.88	346.86	1345.67	2400.58	77.11	932.88	1348.61	1034.48	1509.6	2833.28	2117.78	2815.57
Iowa City, IA	1024.92	254.06	1331.44	1158.1	692.01	2605.1	2628.36	1390.7	2344.63	2621.36	2620.8	1652.2	1225.65	633.16	1191.98	2996.96	2843.84	2258.35	595.09	2557.56		455.86	1478.32	1258.47	312.08	807.06	1012.36	1403.93	2624.52	1884.76	394.43	322.31	1259.54	1221.57	2979.47	1555.8	2352.17	1225.86	1447.82	1397.15	258.75	2619.72	2401.2	2367.97	2301.05	1160.36	1326.37	321.1	974.35
Joplin, MO	860.33	599.05	750.92	1200.13	527.42	1810.67	1833.93	1225.89	2045.63	1826.93	1826.37	1568.17	1353.62	210.9	417.82	2202.53	2049.41	1463.91	748.25	1763.13	454.87		1404.07	1362.21	145.25	748.68	847.77	823.41	1830.09	1585.76	651.84	578.96	1429.34	1388.25	2185.04	1750.55	2053.17	1061.04	1800.36	623.0	595.5	1825.29	2102.2	2068.98	2002.05	375.79	1161.55	623.18	1143.84
Kissimmee, FL	473.0	1269.89	854.34	3068.27	790.28	2595.82	2619.08	415.93	3853.19	2612.08	2611.53	169.4	1059.65	1458.12	1182.7	2987.68	2834.56	2249.07	1084.65	2548.29	1433.93	1307.6		1058.75	1478.57	2566.59	468.19	656.06	2615.25	3393.32	1065.37	1227.93	1128.32	1106.4	2970.2	1449.63	3860.73	510.83	2585.52	1387.88	1266.34	2610.44	3909.76	3876.54	3809.62	1005.45	849.83	1723.69	872.83
