, ,"Alexandria, VA","Alpharetta, GA","Antioch, CA","Arlington Heights, IL","Aurora, CO","Baton Rouge, LA","Bellevue, WA","Billings, MT","Blue Springs, MO","Bowling Green, KY","Broken Arrow, OK","Buena Park, CA","Camden, NJ","Carson, CA","Cedar Hill, TX","Charleston, SC","Chicago, IL","City of Sammamish, WA","Collierville, TN","Compton, CA","Corona, NY","Cypress, CA","Dayton, OH","Delray Beach, FL","Downers Grove, IL","East Brunswick, NJ","East Norwalk, CT","Edmond, OK","Elmhurst, IL","Euless, TX","Fayetteville, NC","Florin, CA","Fort Smith, AR","Fresno, CA","Gastonia, NC","Goodyear, AZ","Green Bay, WI","Hamilton, OH","Haverhill, MA","Highland, CA","Huntersville, NC","Iowa City, IA","Jacksonville, FL","Joplin, MO","Kennewick, WA","Kissimmee, FL","Laguna Niguel, CA","Lakewood, NJ","Lawrence, KS","Lenexa, KS","Livermore, CA","Loveland, CO","Malden, MA","Marietta, GA","Melbourne, FL","Metairie Terrace, LA","Millcreek, UT","Mission Viejo, CA","Moreno Valley, CA","Nampa, ID","New Haven, CT","Noblesville, IN","North Miami, FL","Oak Lawn, IL","Omaha, NE","Ozone Park, NY","Paradise, NV","Paterson, NJ","Perth Amboy, NJ","Pittsburg, CA","Pomona, CA","Portland, ME","Racine, WI","Redmond, WA","Richmond, VA","Rock Hill, SC","Roswell, NM","Saint George, UT","San Antonio, TX","San Marcos, TX","Santa Clara, CA","Schaumburg, IL","Shreveport, LA","South Gate, CA","Sparks, NV","Springfield, OR","Stratford, CT","Tacoma, WA","Tempe Junction, AZ","Tigard, OR","Trenton, NJ","Tyler, TX","Vancouver, WA","Waldorf, MD","Waterloo, IA","West Coon Rapids, MN","West Orange, NJ","Wheaton, MD","Woodland, CA"
479,"Lakewood, NJ",204.2,898.18,3393.85,1024.15,2943.89,1750.89,3502.58,2311.46,1446.58,893.27,1524.66,3024.55,58.09,3047.81,1611.95,748.99,988.1,3497.99,1148.84,3040.81,100.59,3040.26,640.22,1196.42,1010.18,44.47,128.38,1886.85,1013.49,1611.43,509.74,3416.41,1419.48,3263.3,686.64,2677.8,1322.51,679.29,351.76,2977.02,689.6,1188.19,899.92,1343.19,3297.75,1058.68,3049.58,,1501.64,1477.54,3381.31,1983.93,334.78,919.92,1075.81,1823.38,3461.07,3043.98,2971.06,3038.13,163.78,927.05,1237.22,982.19,1433.94,109.25,2950.8,87.32,49.67,3398.93,3004.94,430.56,1057.63,3505.54,302.08,675.58,2186.92,3014.25,1865.09,1816.61,3385.38,1020.6,1496.01,3039.18,3391.77,3554.57,148.17,3521.34,2656.22,3454.42,31.56,1579.82,3450.37,207.85,1279.55,1477.95,76.1,188.17,3443.74
489,"Lawrence, KS",1387.03,1109.26,2278.41,560.88,555.95,875.63,1909.69,1041.79,57.56,776.35,220.41,1909.11,1431.25,1932.37,543.06,1475.05,547.89,1905.1,507.32,1925.37,1439.03,1924.82,714.38,1692.88,536.6,1413.8,1441.77,302.26,539.91,578.57,1456.13,2300.97,307.81,2147.86,1272.84,1562.36,752.06,679.43,1665.14,1861.58,1282.5,335.99,1440.04,170.84,1704.86,1528.79,1934.14,1446.63,,31.54,2265.87,608.15,1648.17,1096.71,1615.93,948.12,1084.25,1928.54,1855.62,1445.24,1477.17,613.67,1733.69,540.79,187.67,1447.69,1835.36,1409.72,1414.02,2283.49,1889.5,1743.95,637.04,1912.65,1362.72,1310.2,1071.48,1225.08,920.92,747.72,2269.94,557.34,620.75,1923.74,1556.68,1961.68,1461.56,1928.45,1540.78,1861.53,1416.67,500.5,1857.48,1410.71,351.56,504.3,1407.29,1193.59,2328.3
499,"Lenexa, KS",1362.88,1085.12,2298.26,536.74,588.74,881.35,2244.18,1053.06,29.9,752.2,239.44,1928.97,1407.1,1952.23,548.78,1450.9,523.75,2239.59,476.71,1945.23,1414.88,1944.67,690.24,1712.4,512.45,1389.65,1417.62,322.12,515.76,548.26,1431.99,2320.83,282.03,2167.71,1248.69,1582.21,727.92,655.28,1641.0,1881.43,1258.36,311.85,1415.9,145.07,2039.35,1538.52,1954.0,1422.48,31.54,,2285.73,640.94,1624.02,1072.56,1591.79,953.84,1117.04,1948.39,1875.47,1779.72,1453.02,589.52,1753.2,516.64,194.7,1423.55,1855.21,1385.58,1389.87,2303.34,1909.35,1719.8,612.89,2247.13,1338.58,1286.05,1091.34,1257.87,940.78,753.43,2289.8,533.19,626.46,1943.59,1589.47,2296.16,1437.42,2262.94,1560.63,2196.01,1392.52,506.22,2191.97,1386.56,327.41,480.15,1383.15,1169.44,2348.15
509,"Livermore, CA",3192.93,2703.46,31.95,2787.46,1222.85,2329.16,821.05,1256.27,2312.19,2582.48,2064.16,371.01,3366.62,360.25,1787.95,2967.68,2774.47,830.04,2349.9,359.34,3475.74,373.0,2822.98,3146.41,2763.17,3408.68,3503.43,1962.64,2766.48,1768.31,3262.03,83.72,2182.55,150.29,3078.74,703.12,2978.64,2803.31,3726.8,417.18,3088.4,2775.41,2878.3,2166.87,863.53,2982.32,408.64,3417.27,2265.59,2284.83,,1249.84,3709.83,2687.12,3033.09,2401.65,735.17,406.94,410.16,621.04,3538.83,2784.03,3187.22,2762.04,2159.5,3484.4,540.24,3443.31,3408.9,42.72,380.51,3805.61,2863.61,827.56,3168.63,2915.21,1522.08,661.21,1699.45,1729.0,31.54,2783.91,2074.28,353.53,218.71,535.72,3523.22,787.11,728.37,637.32,3384.13,1892.93,653.1,3216.61,2303.4,2085.21,3439.69,3198.9,87.32
519,"Loveland, CO",2807.68,2318.21,1224.38,1143.38,57.23,1943.92,1246.42,510.52,663.12,2197.23,748.8,1086.65,2981.37,1109.91,1402.7,2582.44,1130.39,1241.84,1964.65,1102.91,2021.52,1102.35,1296.88,2761.17,1119.09,1996.29,2024.26,933.31,1122.4,1383.06,2876.78,1173.28,1797.3,1215.51,2693.49,964.41,1216.22,1261.92,2247.63,1046.04,2703.16,807.59,2493.05,748.95,1041.59,2597.07,1111.68,3032.02,608.83,640.41,1250.72,,2230.66,2301.88,2647.84,2016.4,559.2,1106.07,1060.42,781.97,2059.66,1196.16,2801.97,1123.28,553.91,2030.18,824.08,1992.22,1996.51,1229.46,1067.04,2326.44,1101.19,1249.38,2783.38,2529.96,553.8,700.03,1314.2,1343.75,1297.01,1139.83,1689.03,1101.27,1031.63,1298.41,2044.05,1265.19,939.99,1198.26,2998.88,1507.68,1194.21,2831.36,812.82,1327.54,1989.79,2813.65,1184.27
529,"Malden, MA",504.25,1198.22,3710.8,1177.59,2199.54,2067.84,3656.02,2464.9,1600.02,1210.22,1841.61,3341.5,358.36,3364.76,1928.9,1049.04,1141.54,3651.43,1465.79,3357.76,268.93,3357.2,984.16,1496.47,1163.62,304.19,207.43,2203.8,1166.92,1928.38,809.79,3733.36,1736.43,3580.24,986.69,2994.75,1475.94,1023.23,29.87,3293.97,989.65,1341.63,1199.97,1660.13,3451.19,1358.72,3366.53,328.96,1655.08,1630.98,3698.26,2137.37,,1219.97,1375.86,2140.33,2515.22,3360.93,3288.01,3191.56,176.77,1080.48,1537.27,1135.63,1587.38,285.91,3267.75,274.14,297.09,3715.88,3321.89,101.57,1211.06,3658.98,602.13,975.63,2503.87,3331.2,2182.04,2133.56,3702.33,1174.04,1812.95,3356.12,3708.72,3708.0,188.49,3674.78,2973.17,3607.86,338.96,1896.76,3603.81,507.89,1432.98,1631.39,290.05,488.21,3760.68
539,"Marietta, GA",711.45,18.86,2671.86,804.77,2221.89,561.08,3564.51,2775.01,897.83,325.16,966.27,2302.56,860.38,2325.82,889.96,306.82,768.72,3559.93,342.7,2318.82,972.4,2318.26,639.2,641.35,790.8,912.38,1000.19,1164.85,794.1,889.43,414.14,2694.42,713.9,2541.3,228.41,1955.8,1103.12,619.53,1223.56,2255.02,258.37,968.81,344.86,849.75,3359.68,467.48,2327.59,911.49,1101.11,1077.01,2659.32,2273.33,1206.59,,520.75,577.83,2739.08,2321.98,2249.06,3100.06,1035.59,600.25,682.16,762.81,1196.54,981.06,2228.8,959.13,934.73,2676.93,2282.94,1302.37,838.24,3567.47,611.9,242.56,1464.93,2292.25,1143.09,1094.61,2663.39,801.22,615.93,2317.18,2669.77,3616.5,1019.98,3583.28,1934.23,3516.35,892.47,712.19,3512.31,702.56,1060.16,1258.57,947.9,725.56,2721.74
549,"Melbourne, FL",876.72,526.11,3015.99,1322.99,2566.03,905.21,3908.65,3119.14,1416.06,843.39,1310.41,2646.69,1025.65,2669.95,1234.09,433.93,1286.94,3904.06,821.71,2662.95,1137.66,2662.4,1157.42,125.69,1309.02,1077.65,1165.46,1508.99,1312.33,1233.57,579.41,3038.55,1216.51,2885.44,553.64,2299.94,1621.35,1137.76,1388.83,2599.16,566.72,1487.04,176.6,1358.47,3703.82,55.18,2671.72,1076.76,1524.28,1595.24,3003.45,2617.46,1371.85,521.3,,706.94,3083.21,2666.12,2593.2,3444.19,1200.86,1118.48,166.49,1281.03,1714.76,1146.32,2572.94,1124.4,1100.0,3021.07,2627.08,1467.63,1356.47,3911.61,777.16,528.83,1809.06,2636.39,1487.23,1438.75,3007.52,1319.45,960.07,2661.32,3013.91,3960.63,1185.25,3927.41,2278.36,3860.49,1057.74,1056.32,3856.44,867.83,1578.39,1776.8,1113.17,890.83,3065.88
559,"Metairie Terrace, LA",1616.78,562.89,2396.44,1211.31,1946.48,77.13,3289.1,2499.59,877.18,1006.32,690.86,2027.14,1790.47,2050.4,614.54,798.35,1198.32,3284.51,773.75,2043.4,1899.59,2042.84,1246.82,825.88,1187.02,1832.53,1927.28,889.44,1190.33,614.02,939.42,2419.0,596.96,2265.88,760.5,1680.39,1402.49,1227.16,2150.65,1979.6,855.48,1199.26,557.7,738.92,3084.27,661.78,2052.17,1841.11,904.73,909.89,2383.9,1997.91,2133.68,546.56,712.55,,2463.66,2046.56,1973.65,2824.64,1962.68,1207.88,866.68,1185.88,1066.54,1908.25,1953.39,1867.16,1832.74,2401.51,2007.53,2229.46,1287.46,3292.05,1592.47,774.65,1189.51,2016.83,867.68,819.19,2387.97,1207.76,336.48,2041.76,2394.36,3341.08,1947.07,3307.86,1658.81,3240.93,1807.97,429.99,3236.89,1640.46,1359.84,1557.93,1863.54,1622.75,2446.32
569,"Millcreek, UT",3273.78,2784.3,710.11,1887.06,532.9,2410.01,827.81,648.27,1139.55,2663.32,1500.92,684.44,3447.47,707.7,1868.8,3048.53,1930.18,823.22,2430.75,700.7,2851.64,700.14,2219.18,3227.26,1913.09,2826.41,2854.38,1399.4,1904.63,1849.16,3342.88,659.02,2263.4,813.3,3159.58,663.65,1775.61,2220.41,3077.75,643.83,3169.25,1185.84,2959.15,1225.37,622.98,3063.17,709.47,2859.24,1085.26,1116.84,736.45,559.89,3060.78,2767.97,3113.94,2482.5,,703.86,658.21,363.35,2889.78,2106.38,3268.06,1923.07,932.16,2860.3,421.87,2822.34,2826.63,715.19,664.83,3156.56,1911.92,830.76,3249.47,2996.06,1019.89,297.82,1780.3,1809.85,782.75,1893.26,2155.13,699.06,517.36,879.79,2874.17,846.57,662.07,779.64,2829.28,1973.78,775.6,3297.46,1695.39,1477.21,2819.9,3279.75,670.0
579,"Mission Viejo, CA",2865.5,2376.03,414.09,2460.03,1087.98,2001.73,1334.3,1358.35,1984.76,2255.05,1736.73,27.94,3039.19,53.17,1460.52,2640.25,2447.04,1329.71,2022.47,46.17,3148.31,32.48,2495.54,2818.98,2435.74,3081.25,3176.0,1635.21,2439.05,1440.88,2934.6,436.65,1855.12,283.53,2751.31,375.69,2651.21,2475.88,3399.37,89.75,2760.97,2447.98,2550.87,1839.44,1129.47,2654.89,7.13,3089.84,1938.16,1957.4,401.55,1114.97,3382.4,2359.69,2705.66,2074.22,712.45,,82.73,934.9,3211.4,2456.6,2859.79,2434.6,2076.05,3156.97,295.41,3115.88,3081.46,419.16,53.06,3478.18,2536.18,1337.25,2841.2,2587.78,1194.65,416.37,1372.02,1401.57,405.62,2456.48,1746.85,44.53,532.89,915.19,3195.79,1166.58,400.94,1016.79,3056.69,1565.5,1032.57,2889.18,2608.56,2187.29,3112.26,2871.47,463.97
589,"Moreno Valley, CA",2783.24,2293.77,423.63,2377.77,1033.08,1919.48,1344.46,1303.45,1902.5,2172.79,1654.48,54.33,2956.94,77.59,1378.26,2558.0,2364.79,1339.87,1940.21,70.59,3066.05,70.03,2413.29,2736.73,2353.49,2998.99,3093.74,1552.96,2356.8,1358.62,2852.35,446.19,1772.86,293.07,2669.05,293.44,2568.95,2393.62,3317.12,25.36,2678.72,2365.73,2468.61,1757.19,1139.63,2572.63,79.36,3007.58,1855.91,1875.14,411.09,1060.07,3300.14,2277.44,2623.41,1991.97,657.55,73.75,,880.0,3129.14,2374.34,2777.53,2352.35,1993.79,3074.72,240.51,3033.62,2999.21,428.7,34.72,3395.92,2453.93,1347.41,2758.94,2505.52,1112.4,361.48,1289.76,1319.32,415.16,2374.23,1664.59,68.95,542.44,924.73,3113.53,1176.12,318.69,1026.33,2974.44,1483.24,1042.11,2806.92,2526.31,2132.39,3030.01,2789.21,473.51
599,"Nampa, ID",2785.33,2852.01,595.43,1967.16,1285.41,3172.1,472.3,728.38,1792.0,2519.09,1926.56,905.9,2923.97,929.16,2630.89,3217.79,2010.29,467.72,3192.84,922.16,2931.75,921.6,2299.29,3989.35,1993.2,2906.52,2934.49,2161.49,1984.74,2611.25,3198.88,544.34,3025.49,704.22,3015.58,918.33,1855.72,2300.52,3157.86,865.29,3025.25,1866.37,3721.24,1923.81,267.47,3825.26,930.93,2939.34,1769.69,1780.59,621.77,1236.64,3140.89,3530.06,3876.03,3244.59,423.39,925.32,879.67,,2969.89,2186.48,4030.15,2003.18,1631.6,2940.41,643.33,2902.44,2906.74,600.51,886.29,3236.67,1992.03,475.26,3105.47,3052.94,1781.98,718.34,2542.39,2571.94,668.07,1973.36,2917.22,920.52,402.68,524.29,2954.28,491.07,944.94,424.14,2909.39,2735.87,420.1,2806.27,1775.5,1557.31,2900.01,2766.41,555.32
609,"New Haven, CT",334.86,1028.84,3541.41,1008.2,2030.16,1898.45,3486.63,2295.52,1430.63,1040.83,1672.22,3172.12,188.97,3195.37,1759.52,879.65,972.15,3482.05,1296.4,3188.38,99.55,3187.82,814.77,1327.08,994.23,134.81,38.05,2034.41,997.54,1758.99,640.41,3563.98,1567.04,3410.86,817.3,2825.36,1306.56,853.85,192.28,3124.58,820.26,1172.25,1030.59,1490.75,3281.8,1189.34,3197.15,159.57,1485.69,1461.6,3528.88,1967.98,175.31,1050.58,1206.48,1970.94,2345.84,3191.54,3118.62,3022.18,,911.1,1367.89,966.24,1417.99,116.53,3098.36,104.75,127.7,3546.49,3152.5,271.09,1041.68,3489.59,432.74,806.25,2334.49,3161.81,2012.65,1964.17,3532.95,1004.66,1643.57,3186.74,3539.33,3538.62,15.57,3505.4,2803.78,3438.47,169.57,1727.38,3434.43,338.51,1263.6,1462.01,120.67,318.83,3591.3
619,"Noblesville, IN",638.9,631.38,2799.05,222.99,1159.77,1156.09,2701.42,1510.3,560.25,298.47,929.86,2429.75,857.64,2453.01,1017.16,834.74,186.94,2696.83,554.04,2446.02,865.42,2445.46,112.81,1258.66,209.02,840.19,868.16,1292.05,212.32,1016.63,815.82,2821.62,824.68,2668.5,632.53,2083.0,521.34,128.85,1091.53,2382.22,642.19,387.03,962.16,748.39,2496.59,1084.79,2454.79,873.02,615.31,591.21,2786.52,1182.77,1074.56,618.83,1138.05,1228.58,1560.62,2449.18,2376.26,2236.96,903.56,,1299.46,181.03,632.78,874.08,2356.0,836.12,840.41,2804.13,2410.14,1170.34,256.46,2704.37,722.42,669.89,1592.13,2419.45,1270.29,1221.81,2790.59,219.44,901.21,2444.38,2796.97,2753.4,887.95,2720.18,2061.42,2653.25,843.06,985.02,2649.21,659.85,478.38,676.79,833.68,619.98,2848.94
629,"North Miami, FL",1038.25,687.64,3169.64,1484.52,2719.68,1058.86,4062.3,3272.79,1577.59,1004.92,1464.06,2800.34,1187.18,2823.6,1387.74,595.46,1448.47,4057.71,975.36,2816.6,1299.19,2816.05,1318.95,42.86,1470.55,1239.18,1326.99,1662.64,1473.86,1387.22,740.94,3192.2,1370.16,3039.09,715.17,2453.59,1782.88,1299.29,1550.36,2752.81,728.25,1648.57,338.13,1512.12,3857.47,209.42,2825.37,1238.28,1677.93,1683.09,3157.1,2771.11,1533.38,682.83,166.3,860.58,3236.86,2819.77,2746.85,3597.84,1362.39,1280.01,,1442.56,1876.29,1307.85,2726.59,1285.93,1261.53,3174.72,2780.73,1629.16,1518.0,4065.25,938.69,690.36,1962.71,2790.04,1640.88,1592.4,3161.17,1480.98,1113.72,2814.96,3167.56,4114.28,1346.78,4081.06,2432.01,4014.14,1219.27,1209.97,4010.09,1029.36,1739.92,1938.33,1274.7,1052.36,3219.53
639,"Oak Lawn, IL",776.02,784.76,2899.07,39.62,1083.38,1256.11,2540.1,1348.99,483.86,451.85,680.04,2529.77,914.66,2553.03,1117.17,988.11,24.5,2535.52,697.11,2546.03,922.44,2545.48,289.99,1412.04,21.82,897.21,925.18,1392.07,25.13,1116.65,969.2,2921.63,924.7,2768.51,785.9,2183.02,360.03,291.21,1148.56,2482.24,795.57,225.72,1115.54,577.46,2335.27,1238.16,2554.8,930.04,538.91,514.82,2886.53,1021.45,1131.58,772.2,1291.43,1328.6,1399.31,2549.2,2476.28,2075.65,960.58,177.18,1452.84,,471.46,931.11,2456.02,893.14,897.43,2904.15,2510.16,1227.36,93.15,2543.06,875.79,823.26,1692.14,2519.47,1370.31,1321.83,2890.6,36.07,1001.22,2544.39,2896.99,2592.09,944.98,2558.87,2161.44,2491.94,900.08,1085.03,2487.9,796.97,317.07,515.48,890.71,757.1,2948.95
649,"Omaha, NE",1483.76,1206.0,1718.94,499.93,540.4,1059.05,2095.98,904.87,206.01,873.08,403.83,2048.01,1527.98,2071.27,747.74,1571.78,644.63,2091.39,953.51,2064.27,1535.76,2063.71,811.12,1833.28,472.55,1510.53,1538.5,441.16,488.9,717.46,1552.87,1667.84,474.78,2286.75,1369.57,1701.25,665.78,776.16,1761.88,2000.47,1379.24,257.16,1536.78,337.81,1891.15,1659.4,2073.04,1543.36,188.14,194.59,1745.28,553.83,1744.9,1193.44,1712.67,1131.54,931.68,2067.43,1994.51,1631.53,1573.9,710.4,1874.08,637.52,,1544.43,1318.64,1506.46,1510.75,1724.01,2028.39,1840.68,550.76,2098.94,1459.46,1406.93,1210.38,1194.59,1059.82,949.22,1791.57,504.62,804.17,2062.63,1526.18,2147.97,1558.29,2114.74,1679.67,2047.82,1513.4,852.73,2043.77,1507.44,256.79,380.35,1504.03,1290.32,1678.83
659,"Ozone Park, NY",273.15,967.13,3479.7,972.77,3029.74,1836.74,3451.19,2260.08,1395.19,979.12,1610.51,3110.4,127.26,3133.66,1697.8,817.94,936.71,3446.61,1234.69,3126.66,11.78,3126.11,779.33,1265.37,958.79,73.1,73.38,1972.7,962.1,1697.28,578.69,3502.27,1505.33,3349.15,755.59,2763.65,1271.12,818.41,296.75,3062.87,758.55,1136.81,968.87,1429.04,3246.36,1127.63,3135.43,97.86,1450.25,1426.16,3467.16,1932.54,279.78,988.87,1144.76,1909.23,3546.93,3129.83,3056.91,2986.74,108.78,875.66,1306.17,930.8,1382.55,,3036.65,43.04,65.99,3484.78,3090.79,375.56,1006.24,3454.15,371.03,744.53,2272.77,3100.1,1950.94,1902.46,3471.23,969.22,1581.86,3125.03,3477.62,3503.18,93.17,3469.96,2742.07,3403.03,107.86,1665.67,3398.99,276.8,1228.16,1426.57,58.96,257.11,3529.59
669,"Paradise, NV",2774.75,2285.27,553.19,2369.28,797.82,1910.98,1109.19,1068.19,1894.01,2164.29,1645.98,266.55,2948.44,289.81,1369.77,2549.5,2356.29,1104.61,1931.72,282.82,3057.56,282.26,2404.79,2728.23,2344.99,2990.5,3085.25,1544.46,2348.3,1350.13,2843.85,575.75,1764.37,395.41,2660.55,283.58,2560.46,2385.13,3308.62,225.95,2670.22,2357.23,2460.12,1748.69,904.36,2564.14,291.58,2999.08,1847.41,1866.65,540.65,824.81,3291.65,2268.94,2614.91,1983.47,422.29,285.98,240.32,644.74,3120.65,2365.85,2769.03,2343.85,1319.18,3066.22,,3025.12,2990.71,558.26,246.94,3387.43,2445.43,1112.15,2750.44,2497.03,1103.9,126.21,1281.27,1310.82,544.72,2365.73,1656.1,281.18,446.62,885.65,3105.04,1127.95,310.19,1061.03,2965.94,1474.75,1056.99,2798.43,1578.09,1897.13,3021.51,2780.72,603.07
679,"Paterson, NJ",253.65,947.62,3438.27,934.48,2988.31,1795.31,3412.91,2221.8,1356.91,937.69,1569.08,3068.97,107.76,3092.23,1656.37,798.44,898.43,3408.33,1193.26,3085.24,34.95,3084.68,741.05,1245.87,920.51,53.6,62.64,1931.27,923.82,1655.85,559.19,3460.84,1463.9,3307.72,736.09,2722.22,1232.84,780.13,286.01,3021.44,739.05,1098.53,949.37,1387.61,3208.08,1108.13,3094.0,78.36,1411.97,1387.88,3425.73,1894.26,269.04,969.37,1125.26,1867.8,3505.5,3088.4,3015.48,2948.46,98.04,837.38,1286.67,892.52,1344.27,43.61,2995.22,,46.49,3443.35,3049.36,364.82,967.96,3415.87,351.53,725.03,2231.34,3058.67,1909.51,1861.03,3429.8,930.94,1540.43,3083.6,3436.19,3464.9,82.43,3431.67,2700.64,3364.75,88.36,1624.24,3360.71,257.29,1189.88,1388.29,21.0,237.61,3488.16
689,"Perth Amboy, NJ",228.17,922.14,3405.46,940.77,2955.49,1762.5,3419.2,2228.08,1363.2,904.87,1536.27,3036.16,82.27,3059.42,1623.56,772.96,904.72,3414.61,1160.45,3052.42,55.69,3051.86,747.34,1220.39,926.8,27.43,83.49,1898.46,930.11,1623.04,533.71,3428.02,1431.09,3274.9,710.61,2689.4,1239.13,786.41,306.86,2988.62,713.57,1104.81,923.89,1354.79,3214.37,1082.65,3061.19,36.8,1418.26,1394.16,3392.92,1900.55,289.88,943.89,1099.78,1834.99,3472.68,3055.58,2982.66,2954.75,118.89,843.67,1261.19,898.81,1350.56,64.35,2962.41,42.43,,3410.53,3016.55,385.67,974.25,3422.16,326.05,699.55,2198.53,3025.85,1876.7,1828.21,3396.99,937.22,1507.61,3050.78,3403.38,3471.19,103.28,3437.96,2667.83,3371.04,48.88,1591.42,3366.99,231.82,1196.17,1394.57,31.2,251.22,3455.34
699,"Pittsburg, CA",3211.82,2722.35,6.13,2806.35,1202.49,2348.05,799.26,1235.91,2331.08,2601.37,2083.05,389.9,3385.51,379.14,1806.84,2986.57,2793.36,808.25,2368.79,378.22,3494.63,391.89,2841.86,3165.3,2782.06,3427.57,3522.32,1981.53,2785.37,1787.2,3280.92,63.36,2201.44,159.0,3097.63,722.01,2997.53,2822.2,3745.69,436.07,3107.29,2794.3,2897.19,2185.76,843.17,3001.21,427.53,3436.16,2284.48,2303.72,42.64,1229.48,3728.72,2706.01,3051.98,2420.54,714.81,425.83,429.05,600.68,3557.72,2802.92,3206.11,2780.92,2139.14,3503.29,559.13,3462.2,3427.78,,399.4,3824.5,2882.5,805.77,3187.52,2934.1,1540.97,680.1,1718.34,1747.89,62.62,2802.8,2093.17,372.42,198.35,513.93,3542.11,765.32,747.26,615.53,3403.01,1911.82,631.31,3235.5,2283.04,2064.85,3458.58,3217.79,66.96
709,"Pomona, CA",2817.27,2327.79,393.51,2411.8,1039.74,1953.5,1351.12,1310.12,1936.53,2206.81,1688.5,24.21,2990.96,47.47,1412.29,2592.02,2398.81,1346.53,1974.24,40.47,3100.08,39.92,2447.31,2770.75,2387.51,3033.02,3127.77,1586.98,2390.82,1392.65,2886.37,416.07,1806.89,262.96,2703.07,327.46,2602.98,2427.65,3351.14,41.52,2712.74,2399.75,2502.64,1791.21,1146.29,2606.66,49.19,3041.6,1889.93,1909.17,380.97,1066.74,3334.17,2311.46,2657.43,2025.99,664.22,43.58,34.5,886.67,3163.17,2408.37,2811.55,2386.37,2027.82,3108.74,247.17,3067.65,3033.23,398.59,,3429.95,2487.95,1354.08,2792.96,2539.55,1146.42,368.14,1323.79,1353.34,385.04,2408.25,1698.62,38.84,512.32,894.61,3147.56,1146.01,352.71,996.21,3008.46,1517.27,1011.99,2840.95,2560.33,2139.06,3064.03,2823.24,443.4
719,"Portland, ME",601.81,1295.79,3808.36,1275.15,2297.1,2165.4,3753.58,2562.47,1697.58,1307.78,1939.17,3439.06,455.92,3462.32,2026.47,1146.6,1239.1,3748.99,1563.35,3455.33,366.5,3454.77,1081.72,1594.03,1261.18,401.76,304.99,2301.36,1264.49,2025.94,907.35,3830.93,1833.99,3677.81,1084.25,3092.31,1573.51,1120.79,80.16,3391.53,1087.21,1439.2,1297.53,1757.7,3548.75,1456.29,3464.1,426.52,1752.64,1728.55,3795.83,2234.93,101.37,1317.53,1473.42,2237.89,2612.79,3458.49,3385.57,3289.13,274.34,1178.05,1634.83,1233.19,1684.94,383.47,3365.31,371.7,394.65,3813.44,3419.45,,1308.63,3756.54,699.69,1073.19,2601.44,3428.76,2279.6,2231.12,3799.9,1271.6,1910.52,3453.69,3806.28,3805.57,286.05,3772.34,3070.73,3705.42,436.52,1994.33,3701.37,605.46,1530.55,1728.95,387.62,585.78,3858.25
729,"Racine, WI",847.71,856.44,2990.0,56.24,1174.31,1347.04,2467.38,1276.27,574.78,523.53,770.97,2620.7,986.34,2643.96,1208.1,1059.8,70.33,2462.8,788.04,2636.96,994.13,2636.4,361.67,1483.72,83.41,968.9,996.87,1483.0,74.94,1207.58,1040.88,3012.56,1015.63,2859.44,857.59,2273.94,140.65,362.89,1220.24,2573.16,867.25,295.95,1187.22,668.39,2262.55,1309.85,2645.73,1001.72,629.84,605.75,2977.46,1091.68,1203.26,843.89,1363.11,1419.52,1469.54,2640.12,2567.2,2002.93,1032.27,248.86,1524.52,93.39,541.69,1002.79,2546.95,964.82,969.11,2995.07,2601.09,1299.05,,2470.34,947.47,894.95,1783.07,2610.39,1461.24,1412.75,2981.53,63.57,1092.15,2635.32,2987.91,2519.37,1016.66,2486.14,2252.37,2419.22,971.76,1175.96,2415.17,868.65,266.37,442.75,962.39,828.78,3039.88
739,"Redmond, WA",3252.36,3319.04,805.03,2434.2,1752.45,3639.14,7.86,1195.41,2259.04,2986.13,2393.59,1372.93,3391.0,1396.19,3097.92,3684.83,2477.32,7.72,3659.87,1389.2,3398.78,1388.64,2766.33,4456.39,2460.24,3373.55,3401.52,2628.53,2451.77,3078.28,3665.91,775.15,3492.52,935.03,3482.62,1385.36,2322.75,2767.55,3624.9,1332.33,3492.28,2333.4,4188.27,2390.84,210.69,4292.29,1397.97,3406.38,2236.73,2247.62,827.57,1703.67,3607.92,3997.1,4343.07,3711.63,890.43,1392.36,1346.7,474.47,3436.92,2653.52,4497.19,2470.22,2098.64,3407.45,1110.37,3369.48,3373.77,806.21,1353.32,3703.7,2459.07,,3572.51,3519.98,2249.02,1185.37,3009.42,3038.98,861.0,2440.4,3384.25,1387.56,852.35,293.67,3421.31,42.83,1411.97,192.88,3376.42,3202.9,175.08,3273.31,2242.54,2024.35,3367.05,3233.44,744.11
